Age32-40, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Own-child, Black, Male,Hour36-50, Germany, <=50K
Age24-31, State-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, Black, Male,Hour21-35, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Assoc-acdm,EduNum12, Never-married, Sales, Not-in-family, White, Female,Hour51-70, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Assoc-acdm,EduNum12, Divorced, Tech-support, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, Iran, >50K
Age41-50, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, Assoc-voc,EduNum11, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour21-35, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Male,Hour1-20, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States, >50K
Age61-70, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour21-35, Mexico, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age61-70, Private, Some-college,EduNum10, Never-married, Tech-support, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Transport-moving, Unmarried, Black, Female,Hour21-35, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Married-civ-spouse, Other-service, Husband, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Widowed, Other-service, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age61-70, Private, 11th,EduNum7, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, ?, Some-college,EduNum10, Divorced, ?, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Some-college,EduNum10, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, Mexico, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,Hour36-50, Philippines, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Own-child, White, Male,Hour21-35, United-States, <=50K
Age51-60, ?, HS-grad,EduNum9, Divorced, ?, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Bachelors,EduNum13, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age71-80, Self-emp-not-inc, Some-college,EduNum10, Separated, Sales, Unmarried, Black, Male,Hour1-20, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Separated, Other-service, Other-relative, Black, Male,Hour36-50, United-States, <=50K
Age61-70, ?, 1st-4th,EduNum2, Divorced, ?, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Other-service, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age41-50, Self-emp-inc, Masters,EduNum14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, England, <=50K
Age41-50, Self-emp-not-inc, Masters,EduNum14, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Divorced, Other-service, Unmarried, White, Female,Hour36-50, Mexico, <=50K
Age32-40, Federal-gov, Assoc-acdm,EduNum12, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, State-gov, Masters,EduNum14, Widowed, Protective-serv, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States, <=50K
Age61-70, Local-gov, Assoc-voc,EduNum11, Widowed, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Other-service, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, State-gov, HS-grad,EduNum9, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, State-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Married-spouse-absent, Sales, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Own-child, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, <=50K
Age41-50, Local-gov, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Craft-repair, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 7th-8th,EduNum4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico, >50K
Age32-40, Federal-gov, Some-college,EduNum10, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age51-60, ?, Bachelors,EduNum13, Divorced, ?, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, <=50K
Age51-60, State-gov, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Tech-support, Husband, White, Male,Hour21-35, United-States, <=50K
Age17-23, Private, 5th-6th,EduNum3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, Masters,EduNum14, Never-married, Exec-managerial, Not-in-family, White, Female,Hour51-70, United-States, >50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Hour36-50, United-States, >50K
Age24-31, Self-emp-not-inc, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Masters,EduNum14, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, ?, HS-grad,EduNum9, Never-married, ?, Own-child, White, Male,Hour36-50, Italy, <=50K
Age51-60, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Local-gov, Some-college,EduNum10, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, State-gov, HS-grad,EduNum9, Divorced, Adm-clerical, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Other-service, Husband, Black, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age51-60, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Sales, Wife, White, Female,Hour21-35, United-States, >50K
Age17-23, Private, 11th,EduNum7, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States, <=50K
Age41-50, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-inc, 7th-8th,EduNum4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Not-in-family, Black, Male,Hour51-70, United-States, >50K
Age41-50, Private, Assoc-acdm,EduNum12, Divorced, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, Poland, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, 10th,EduNum6, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
